t,S1 ref T,S1 air 1 T,S1 air 2 T,S1 mix T,S2 ref T,S2 air 1 T,S2 air 2 T,S2 mix T,S1 ref P,S1 mix P,S2 ref P,S2 mix P
175.743393,55.156111,57.694658,59.187984,56.378830,55.254649,58.270808,58.381769,55.857013,6.307270,12.642397,8.089530,8.254794
176.743897,55.154620,57.701034,59.177863,56.372068,55.251809,58.265400,58.377934,55.851700,6.310510,12.597031,8.096011,8.254794
177.743913,55.156552,57.705210,59.181824,56.383004,55.261389,58.271159,58.382346,55.853181,6.291067,12.626195,8.083049,8.254794
178.744658,55.149524,57.700887,59.175496,56.374869,55.251437,58.263481,58.371748,55.847730,6.323472,12.606752,8.086290,8.264516
179.744843,55.152093,57.701880,59.173347,56.373167,55.246132,58.259534,58.372518,55.843776,6.307270,12.609993,8.096011,8.258035
180.746615,55.145666,57.703999,59.175314,56.375811,55.254103,58.270038,58.381224,55.852194,6.300789,12.622955,8.102492,8.235351
181.746889,55.156159,57.702121,59.169897,56.380279,55.254023,58.258778,58.380522,55.856612,6.333193,12.635917,8.128416,8.267756
182.747303,55.148293,57.686401,59.166312,56.367471,55.251556,58.254967,58.364357,55.844475,6.307270,12.613233,8.070087,8.241832
183.747433,55.150140,57.689594,59.165212,56.366145,55.246654,58.261055,58.362358,55.845872,6.284586,12.629436,8.083049,8.261275
184.747561,55.164097,57.696343,59.177557,56.385027,55.256111,58.266217,58.373585,55.854201,6.307270,12.613233,8.083049,8.248313
185.747525,55.150332,57.708210,59.180709,56.368622,55.259444,58.260609,58.386845,55.854160,6.307270,12.622955,8.089530,8.248313
186.747328,55.143979,57.685238,59.173406,56.373675,55.257140,58.265882,58.380663,55.852082,6.310510,12.609993,8.092771,8.248313
187.747424,55.151300,57.699964,59.183145,56.370837,55.255012,58.270010,58.382320,55.856702,6.316991,12.616474,8.083049,8.261275
188.747717,55.159832,57.696353,59.171803,56.375668,55.244647,58.266750,58.378386,55.851962,6.316991,12.626195,8.089530,8.245073
189.749118,55.146154,57.675052,59.157179,56.364846,55.240418,58.271887,58.382175,55.845710,6.320231,12.609993,8.096011,8.258035
190.750185,55.161737,57.691739,59.187100,56.377270,55.258025,58.271046,58.398854,55.855440,6.307270,12.635917,8.112213,8.258035
191.749655,55.156583,57.691085,59.166290,56.372171,55.260970,58.267075,58.391514,55.855461,6.300789,12.616474,8.070087,8.254794
192.750813,55.152467,57.687874,59.161383,56.376026,55.264504,58.254528,58.382113,55.843250,6.307270,12.613233,8.066847,8.251554
193.752038,55.156463,57.689393,59.171359,56.368703,55.252977,58.248785,58.381311,55.850843,6.307270,12.613233,8.083049,8.261275
194.751925,55.155196,57.686554,59.169285,56.376294,55.264982,58.260187,58.384851,55.849576,6.300789,12.635917,8.079809,8.261275
195.751729,55.155844,57.688774,59.175693,56.382710,55.259331,58.256939,58.388566,55.849549,6.307270,12.626195,8.112213,8.241832
196.752329,55.147740,57.680681,59.164886,56.370990,55.250328,58.238041,58.373263,55.839200,6.313750,12.622955,8.099251,8.248313
